"","Year","Month","Type","Revenue","Megawatthours","Cents.kwh","RealCents.kwh","CPI","Date"
"1",1990,1,"Total","1,406,536","17,504,013",8.04,6.310832025,127.4,"1/1990"
"2",1990,2,"Total","1,414,179","16,713,747",8.46,6.609375,128,"2/1990"
"3",1990,3,"Total","1,403,591","16,701,475",8.4,6.526806527,128.7,"3/1990"
"4",1990,4,"Total","1,295,181","15,840,235",8.18,6.346004655,128.9,"4/1990"
"5",1990,5,"Total","1,399,746","16,317,464",8.58,6.640866873,129.2,"5/1990"
"6",1990,6,"Total","1,584,548","17,514,278",9.05,6.966897614,129.9,"6/1990"
"7",1990,7,"Total","1,873,092","19,356,389",9.68,7.423312883,130.4,"7/1990"
"8",1990,8,"Total","1,941,492","20,084,696",9.67,7.348024316,131.6,"8/1990"
"9",1990,9,"Total","1,787,945","19,106,608",9.36,7.053504145,132.7,"9/1990"
"10",1990,10,"Total","1,676,237","18,068,330",9.28,6.951310861,133.5,"10/1990"
"11",1990,11,"Total","1,442,224","16,697,120",8.64,6.457399103,133.8,"11/1990"
"12",1990,12,"Total","1,438,833","17,188,566",8.37,6.255605381,133.8,"12/1990"
"13",1991,1,"Total","1,520,421","17,725,275",8.58,6.374442793,134.6,"1/1991"
"14",1991,2,"Total","1,447,434","16,526,395",8.76,6.49851632,134.8,"2/1991"
"15",1991,3,"Total","1,429,397","16,280,151",8.78,6.503703704,135,"3/1991"
"16",1991,4,"Total","1,417,061","15,946,229",8.89,6.575443787,135.2,"4/1991"
"17",1991,5,"Total","1,488,768","16,188,980",9.2,6.784660767,135.6,"5/1991"
"18",1991,6,"Total","1,652,593","17,064,178",9.68,7.117647059,136,"6/1991"
"19",1991,7,"Total","1,855,763","18,215,789",10.19,7.48164464,136.2,"7/1991"
"20",1991,8,"Total","1,953,527","18,850,394",10.36,7.584187408,136.6,"8/1991"
"21",1991,9,"Total","1,919,780","18,827,432",10.2,7.434402332,137.2,"9/1991"
"22",1991,10,"Total","1,912,104","18,987,380",10.07,7.328966521,137.4,"10/1991"
"23",1991,11,"Total","1,549,612","16,726,337",9.26,6.71988389,137.8,"11/1991"
"24",1991,12,"Total","1,514,686","17,311,950",8.75,6.345177665,137.9,"12/1991"
"25",1992,1,"Total","1,557,949","17,305,340",9,6.517016655,138.1,"1/1992"
"26",1992,2,"Total","1,492,273","16,507,999",9.04,6.522366522,138.6,"2/1992"
"27",1992,3,"Total","1,469,667","16,420,720",8.95,6.424982053,139.3,"3/1992"
"28",1992,4,"Total","1,470,154","16,428,315",8.95,6.415770609,139.5,"4/1992"
"29",1992,5,"Total","1,583,450","16,916,920",9.36,6.700071582,139.7,"5/1992"
